id,url,text_preview,ai_fasttext_prediction,ai_fasttext_confidence,ai_distilbert_prediction,ai_distilbert_confidence,admin_verdict,verified_at,reported_at
bb336b56,https://tingia.gov.vn/ra-mat-ung-dung-phong-chong-lua-dao-ntrust.html,"nTrust được giới thiệu lần đầu vào ngày 13/5 tại Hội thảo Phòng chống lừa đảo trên không gian mạng do Hiệp hội An ninh mạng quốc gia tổ chức.  Ứng dụng đã được cập nhật, hoàn thiện các tính năng theo góp ý từ hàng trăm tình nguyện viên tham gia sử dụng bản thử nghiệm (Beta) trong tháng 6/2024, trong đó cải thiện đáng kể khả năng quét mã độc và tối ưu hiệu năng hoạt động của phần mềm.  Hiện tại, người dùng đã có thể tải nTrust về điện thoại từ hai kho ứng dụng phổ biến là Google Play Store đối vớ",Scam,59.04698967933655,Scam,99.07,safe,2026-05-18T22:36:42.738008,2026-05-18T22:16:06.549880
101a06bf,https://nic.xyz/,"For every website, everywhere® Get your .xyz domain name now www.gen.xyz We are the Registry Operator for .xyz domain names.  We created .xyz to connect Generations X, Y, and Z and to provide choice to internet users around the world. Our goal is to foster entrepreneurship and innovation on the internet to allow internet users around the world to spread their message. As an open and unrestricted namespace, .xyz has hit the reset button on the internet.",Scam,97.60013818740845,,,scam,2026-05-18T23:20:57.611994,2026-05-18T23:20:34.242692
9c469387,https://nic.xyz/,"For every website, everywhere® Get your .xyz domain name now www.gen.xyz We are the Registry Operator for .xyz domain names.  We created .xyz to connect Generations X, Y, and Z and to provide choice to internet users around the world. Our goal is to foster entrepreneurship and innovation on the internet to allow internet users around the world to spread their message. As an open and unrestricted namespace, .xyz has hit the reset button on the internet.",Scam,97.60013818740845,,,safe,2026-05-19T08:13:13.324689,2026-05-19T08:12:01.629887
2731be8f,https://nic.xyz/,"For every website, everywhere® Get your .xyz domain name now",,,,,scam,2026-05-19T08:22:57.469342,2026-05-19T08:22:52.730829
3efbfc22,https://nic.xyz/#,"For every website, everywhere® Get your .xyz domain name now",,,,,scam,2026-05-19T08:36:25.073128,2026-05-19T08:36:14.906727
6bd09f2c,https://nic.xyz/#,"For every website, everywhere® Get your .xyz domain name now www.gen.xyz",,,,,scam,2026-05-19T11:47:32.205970,2026-05-19T11:47:17.894284
98888dc1,https://nic.xyz/#,"For every website, everywhere® Get your .xyz domain name now www.gen.xyz We are the Registry Operator for .xyz domain names.  We created .xyz to connect Generations X, Y, and Z and to provide choice to internet users around the world. Our goal is to foster entrepreneurship and innovation on the internet to allow internet users around the world to spread their message. As an open and unrestricted namespace, .xyz has hit the reset button on the internet.",,,,,scam,2026-05-20T09:12:43.735367,2026-05-20T09:12:28.788176
aaf5b569,https://nic.xyz/#,"For every website, everywhere® Get your .xyz domain name now www.gen.xyz We are the Registry Operator for .xyz domain names.  We created .xyz to connect Generations X, Y, and Z and to provide choice to internet users around the world. Our goal is to foster entrepreneurship and innovation on the internet to allow internet users around the world to spread their message. As an open and unrestricted namespace, .xyz has hit the reset button on the internet.",,,,,scam,2026-05-20T09:16:25.538521,2026-05-20T09:14:55.301086
4cf9937b,https://nic.xyz/#,"For every website, everywhere® Get your .xyz domain name now www.gen.xyz We are the Registry Operator for .xyz domain names.  We created .xyz to connect Generations X, Y, and Z and to provide choice to internet users around the world. Our goal is to foster entrepreneurship and innovation on the internet to allow internet users around the world to spread their message. As an open and unrestricted namespace, .xyz has hit the reset button on the internet",,,,,scam,2026-05-20T09:50:57.464041,2026-05-20T09:48:37.277782
a1c98951,https://www.facebook.com/search/top/?q=tuy%E1%BB%83n%20d%E1%BB%A5ng%20,"THÔNG TIN TUYỂN DỤNG Vị trí: Nhân viên Admin Back-End Số lượng: 01 (Ưu tiên NỮ) Làm việc tại: Nguyễn Đình Chiểu, Quận 1, TP.HCM Thời gian làm việc: • Thứ 2 – Thứ 6: 8h00 – 17h00 • Thứ 7: 8h00 – 12h00  MÔ TẢ CÔNG VIỆC 1. Quản lý hồ sơ phương tiện: • Theo dõi, cập nhật, lưu trữ các thông tin và giấy tờ liên quan đến xe (đăng kiểm, bảo hiểm, hợp đồng, phù hiệu, biển số, định vị, v.v.) • Đảm bảo toàn bộ giấy tờ pháp lý của phương tiện luôn còn hiệu lực • Soạn thảo và trình ký các hợp đồng hợp tác, p",Scam,78.25024724006653,,,scam,2026-05-20T15:43:03.635233,2026-05-20T15:42:36.211058
4f85da9f,https://www.facebook.com/search/top/?q=tuy%E1%BB%83n%20d%E1%BB%A5ng%20,"THÔNG TIN TUYỂN DỤNG Vị trí: Nhân viên Admin Back-End Số lượng: 01 (Ưu tiên NỮ) Làm việc tại: Nguyễn Đình Chiểu, Quận 1, TP.HCM Thời gian làm việc: • Thứ 2 – Thứ 6: 8h00 – 17h00 • Thứ 7: 8h00 – 12h00  MÔ TẢ CÔNG VIỆC 1. Quản lý hồ sơ phương tiện: • Theo dõi, cập nhật, lưu trữ các thông tin và giấy tờ liên quan đến xe (đăng kiểm, bảo hiểm, hợp đồng, phù hiệu, biển số, định vị, v.v.) • Đảm bảo toàn bộ giấy tờ pháp lý của phương tiện luôn còn hiệu lực • Soạn thảo và trình ký các hợp đồng hợp tác, p",Scam,78.25024724006653,,,scam,2026-05-20T15:49:27.663325,2026-05-20T15:49:12.190858
64b0d037,https://www.facebook.com/search/top/?q=tuy%E1%BB%83n%20d%E1%BB%A5ng%20,"THÔNG TIN TUYỂN DỤNG Vị trí: Nhân viên Admin Back-End Số lượng: 01 (Ưu tiên NỮ) Làm việc tại: Nguyễn Đình Chiểu, Quận 1, TP.HCM Thời gian làm việc: • Thứ 2 – Thứ 6: 8h00 – 17h00 • Thứ 7: 8h00 – 12h00  MÔ TẢ CÔNG VIỆC 1. Quản lý hồ sơ phương tiện: • Theo dõi, cập nhật, lưu trữ các thông tin và giấy tờ liên quan đến xe (đăng kiểm, bảo hiểm, hợp đồng, phù hiệu, biển số, định vị, v.v.) • Đảm bảo toàn bộ giấy tờ pháp lý của phương tiện luôn còn hiệu lực • Soạn thảo và trình ký các hợp đồng hợp tác, p",Scam,78.25024724006653,,,scam,2026-05-20T16:06:50.289347,2026-05-20T15:54:30.408813
ed9e3900,https://www.facebook.com/search/top/?q=tuy%E1%BB%83n%20d%E1%BB%A5ng%20,"Bệnh viện Mắt Sài Gòn Trà Vinh tuyển dụng Bệnh viện Mắt Sài Gòn Trà Vinh đang tuyển dụng nhiều vị trí: • 01 Kế toán viên (Ưu tiên có kinh nghiệm làm BHYT tại bệnh viện/phòng khám, nắm quy trình khám chữa bệnh BHYT và thanh quyết toán BHYT.) • 01 Nhân viên Kế hoạch tổng hợp (Ưu tiên ứng viên có kinh nghiệm quản lý hồ sơ bệnh án và theo dõi công tác thanh quyết toán BHYT tại bệnh viện) • 01 Nhân viên Marketing (Ưu tiên có kinh nghiệm: Digital Marketing, Biên tập nội dung, Thiết kế hình ảnh, quay d",Scam,83.13342928886414,,,scam,2026-05-20T16:08:41.455231,2026-05-20T16:07:32.990816
240dc2d9,https://www.facebook.com/search/top?q=tin%20tuy%E1%BB%83n%20d%E1%BB%A5ng,"VTX tìm kiếm các kỹ sư kiểm soát chất lượng cho các sản phẩm mới, dự án mới. Bạn ứng tuyển ngay nhé.",Legit,74.45144057273865,Scam,50.62,scam,2026-05-21T22:37:50.449099,2026-05-21T22:37:18.357824
da6d9e34,https://www.facebook.com/photo/?fbid=4386185931624524&set=gm.3362484853910731&idorvanity=398460836979829,"Bệnh viện Mắt Sài Gòn Trà Vinh đang tuyển dụng nhiều vị trí: • 01 Kế toán viên (Ưu tiên có kinh nghiệm làm BHYT tại bệnh viện/phòng khám, nắm quy trình khám chữa bệnh BHYT và thanh quyết toán BHYT.) • 01 Nhân viên Kế hoạch tổng hợp (Ưu tiên ứng viên có kinh nghiệm quản lý hồ sơ bệnh án và theo dõi công tác thanh quyết toán BHYT tại bệnh viện) • 01 Nhân viên Marketing (Ưu tiên có kinh nghiệm: Digital Marketing, Biên tập nội dung, Thiết kế hình ảnh, quay dựng và chỉnh sửa video) • 01 Nhân viên Kin",Scam,84.34537649154663,,,scam,2026-05-21T22:37:55.878031,2026-05-20T22:49:01.621099
393e6b51,https://www.facebook.com/search/top?q=tin%20tuy%E1%BB%83n%20d%E1%BB%A5ng,TRAPHACO tuyển dụng Nhân sự dự án phát triển kênh ETC (Địa bàn Hà Nội và các tỉnh).,Scam,63.1912887096405,,,scam,2026-05-21T22:46:08.242368,2026-05-21T22:43:44.308162
7d89c1d8,https://www.facebook.com/search/top?q=tin%20tuy%E1%BB%83n%20d%E1%BB%A5ng,"SUBE TUYỂN LIVESTREAM PART-TIME – THU NHẬP 8 - 9TR  Gia nhập team livestream SUBE ngay!  CÔNG VIỆC - Livestream giới thiệu sản phẩm gia dụng - Tương tác, tư vấn và trả lời khách hàng trực tiếp  YÊU CẦU - Ngoại hình ưa nhìn, tự tin trước camera - Làm việc được theo ca linh hoạt (ưu tiên ca tối)  Địa chỉ: Thái Hà, Đống Đa, Hà Nội =========================  SUBE – Công ty nhập khẩu & phân phối chính hãng thương hiệu gia dụng Bear tại Việt Nam.  Email: tuyendung@sube.vn  Hotline: 038.859.8686",Scam,75.99541544914246,,,scam,2026-05-21T22:50:19.983044,2026-05-21T22:48:13.535492
f984f96e,https://www.facebook.com/search/top?q=tin%20tuy%E1%BB%83n%20d%E1%BB%A5ng,TRAPHACO tuyển dụng Nhân sự dự án phát triển kênh ETC (Địa bàn Hà Nội và các tỉnh).,Scam,74.64461922645569,,,scam,2026-05-22T08:05:14.040074,2026-05-21T23:04:55.294779
